,T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
0,7800.0,0,0,50,nu,390.0,100,0.31740833034303995,0.264722946976208,Adaptive Biweight with first width 1560.0
1,7800.0,0,0,50,alpha,390.0,100,1.4348166606860802,1.401232849855676,Adaptive Biweight with first width 1560.0
2,7800.0,0,0,50,beta,390.0,100,2.0,1.8592856447270545,Adaptive Biweight with first width 1560.0
3,7800.0,0,0,50,nu,390.0,100,0.31740833034303995,0.27071806336562804,Adaptive Biweight with first width 1560.0
4,7800.0,0,0,50,alpha,390.0,100,1.4348166606860802,1.5516157891589186,Adaptive Biweight with first width 1560.0
5,7800.0,0,0,50,beta,390.0,100,2.0,2.053718411273148,Adaptive Biweight with first width 1560.0
6,7800.0,0,0,50,nu,390.0,100,0.31740833034303995,0.3041368870688618,Adaptive Biweight with first width 1560.0
7,7800.0,0,0,50,alpha,390.0,100,1.4348166606860802,1.5082131303464454,Adaptive Biweight with first width 1560.0
8,7800.0,0,0,50,beta,390.0,100,2.0,2.0505419026786966,Adaptive Biweight with first width 1560.0
9,7800.0,0,0,50,nu,390.0,100,0.31740833034303995,0.2927402205330816,Adaptive Biweight with first width 1560.0
10,7800.0,0,0,50,alpha,390.0,100,1.4348166606860802,1.5653641390451103,Adaptive Biweight with first width 1560.0
11,7800.0,0,0,50,beta,390.0,100,2.0,2.0661372666099243,Adaptive Biweight with first width 1560.0
12,7800.0,0,0,50,nu,390.0,100,0.31740833034303995,0.2813928211426577,Adaptive Biweight with first width 1560.0
13,7800.0,0,0,50,alpha,390.0,100,1.4348166606860802,1.4286321001381683,Adaptive Biweight with first width 1560.0
14,7800.0,0,0,50,beta,390.0,100,2.0,1.9425743001836595,Adaptive Biweight with first width 1560.0
15,7800.0,0,0,50,nu,390.0,100,0.31740833034303995,0.27941102525240513,Adaptive Biweight with first width 1560.0
16,7800.0,0,0,50,alpha,390.0,100,1.4348166606860802,1.3594654208016033,Adaptive Biweight with first width 1560.0
17,7800.0,0,0,50,beta,390.0,100,2.0,1.7953396891239783,Adaptive Biweight with first width 1560.0
18,7800.0,0,0,50,nu,390.0,100,0.31740833034303995,0.2793910041309795,Adaptive Biweight with first width 1560.0
19,7800.0,0,0,50,alpha,390.0,100,1.4348166606860802,1.430945867322312,Adaptive Biweight with first width 1560.0
20,7800.0,0,0,50,beta,390.0,100,2.0,1.9025457550412452,Adaptive Biweight with first width 1560.0
21,7800.0,0,0,50,nu,390.0,100,0.31740833034303995,0.2615117105296841,Adaptive Biweight with first width 1560.0
22,7800.0,0,0,50,alpha,390.0,100,1.4348166606860802,1.4824398146967042,Adaptive Biweight with first width 1560.0
23,7800.0,0,0,50,beta,390.0,100,2.0,1.8810721303473836,Adaptive Biweight with first width 1560.0
