T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.12920547903569188,Biweight 2800.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.1681591958246578,Biweight 2800.0 width
8400.0,0,0,50,beta,420.0,100,2.0,1.9731706641695574,Biweight 2800.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.1350467545922158,Biweight 2800.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.3542728574945204,Biweight 2800.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.3774698345490357,Biweight 2800.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.1210259774572581,Biweight 2800.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.5587136311257985,Biweight 2800.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.451676810819029,Biweight 2800.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.12603461325310156,Biweight 2800.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.2768593174274807,Biweight 2800.0 width
8400.0,0,0,50,beta,420.0,100,2.0,1.9367691758278023,Biweight 2800.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.14090125796791395,Biweight 2800.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.2711997828368167,Biweight 2800.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.294306241878053,Biweight 2800.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.1364940050506785,Biweight 2800.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.5884935000534948,Biweight 2800.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.578769308405145,Biweight 2800.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.13186440793940638,Biweight 2800.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.3119905090557469,Biweight 2800.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.0844991871460294,Biweight 2800.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.13397981732765726,Biweight 2800.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.33651400184093,Biweight 2800.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.075478509668539,Biweight 2800.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.11943425644814766,Biweight 2800.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.180495234680553,Biweight 2800.0 width
8400.0,0,0,50,beta,420.0,100,2.0,1.8493861012635837,Biweight 2800.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.12449626345162748,Biweight 2800.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.0549006250773383,Biweight 2800.0 width
8400.0,0,0,50,beta,420.0,100,2.0,1.980814341071628,Biweight 2800.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.1276655362489476,Biweight 2800.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.3676082311502042,Biweight 2800.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.085516062295903,Biweight 2800.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.12401313174554712,Biweight 2800.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.1665808695555293,Biweight 2800.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.0070460740306615,Biweight 2800.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.1302658898627659,Biweight 2800.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.336773291752231,Biweight 2800.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.1208402963004254,Biweight 2800.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.1114753180498813,Biweight 2800.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.0504342929318577,Biweight 2800.0 width
8400.0,0,0,50,beta,420.0,100,2.0,1.7296104418923448,Biweight 2800.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.11638545451602687,Biweight 2800.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.0101569258830516,Biweight 2800.0 width
8400.0,0,0,50,beta,420.0,100,2.0,1.801213874740792,Biweight 2800.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.1115408161057066,Biweight 2800.0 width
