T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
9600.0,0,0,50,nu,480.0,100,0.2,0.20132247126218739,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.3963321353217175,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,2.0915750968956877,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.20417851055917025,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.4300394702492827,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,2.1985886072008456,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.22029349100377812,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.4703712778744653,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,2.117887077809539,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.2202166907444459,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.3354989801163077,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,2.055208459758717,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.18620030746644056,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.5341892690110945,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,2.230841167412423,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.20924394999160714,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.4540805593221209,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,2.1263495031764545,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.19550593381456322,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.4726274725523176,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,1.9456447079674057,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.19734728572954494,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.269719835753256,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,1.860951438740546,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.1932924168742771,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.3351147667473318,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,1.914976985783626,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.21284771013651138,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.4177427251593286,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,2.0663054040571747,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.2032853195843976,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.3426401327335895,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,1.9484633105375562,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.22205245323940626,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.3223540412003694,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,1.8192000043476722,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.2031462493549956,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.4452139648590605,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,2.131495894134864,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.16395709963896632,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.535960390316794,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,2.0526901365829273,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.20316266758316012,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.3098191255397862,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,1.9962528295313873,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.2005309473703984,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.3601673565985,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,2.0804428440261735,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.19830676745576953,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.565534950222099,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,2.244598599179334,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.24922195937995767,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.2924482738675598,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,1.945674617712801,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.17122919720335097,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.2098114969695164,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,1.7368940981027177,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.19365054374563073,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.2961309523928455,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,1.970383102696653,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.20751687309265904,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.2701360403831716,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,1.86720464889185,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.1951588037681622,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.0780125034252879,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,1.5865436431885762,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.17384492288046216,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.2961430670283218,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,1.6432083349381437,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.18780602510450442,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.3679730757695998,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,1.9773653791746548,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.2066627640327832,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.4818263624255068,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,2.149965963540586,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.16430460090108417,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.5651525125905943,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,2.029807694038859,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.17029418685842299,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.1359215808455214,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,1.678602887906024,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.18774462047239943,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.3988964371510042,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,2.0526584937636483,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.19542164811735163,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.319147166154236,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,1.8842331750858943,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.19946857673655638,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.6295600543858453,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,beta,480.0,100,2.0,2.459572753876887,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,nu,480.0,100,0.2,0.20829154478163645,Adaptive Biweight with first width 3200.0
9600.0,0,0,50,alpha,480.0,100,1.4,1.5525125618321785,Adaptive Biweight with first width 3200.0
