T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
9600.0,0,0,50,nu,480.0,100,0.2,0.1938289132541114,Biweight 3200.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.3649711778180842,Biweight 3200.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.023029190730833,Biweight 3200.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.20484946933658546,Biweight 3200.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.5569418830451227,Biweight 3200.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.316976783268387,Biweight 3200.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.22296388980261198,Biweight 3200.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.4663799832700202,Biweight 3200.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.12695962503722,Biweight 3200.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.22005724657251102,Biweight 3200.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.41239239094178,Biweight 3200.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.1666133299554144,Biweight 3200.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.1879118569546108,Biweight 3200.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.5000265763990526,Biweight 3200.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.182266774727597,Biweight 3200.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.20209454802099255,Biweight 3200.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.4109638365780002,Biweight 3200.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.014222711310028,Biweight 3200.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.19952324994242923,Biweight 3200.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.4674725205863655,Biweight 3200.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.9779232822977142,Biweight 3200.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.1934040896341779,Biweight 3200.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.3225832626569276,Biweight 3200.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.9431520615149873,Biweight 3200.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.1953069820466767,Biweight 3200.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.342715576058553,Biweight 3200.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.9055375687296905,Biweight 3200.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.2161526099482708,Biweight 3200.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.4821914722222302,Biweight 3200.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.1016361272872275,Biweight 3200.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.20690681934994457,Biweight 3200.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.3864566344652065,Biweight 3200.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.9800812586621184,Biweight 3200.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.21579507781854673,Biweight 3200.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.349529557849003,Biweight 3200.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.8779127048497921,Biweight 3200.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.20658047244227834,Biweight 3200.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.4388385076906944,Biweight 3200.0 width
