T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
9600.0,0,0,50,nu,480.0,100,0.2,0.20051926412163426,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.3919885781297305,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.0851764521012868,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.20447427744836083,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.4570689566015604,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.2286056299569768,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.22081841752025383,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.4667940574886096,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.1199730213079793,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.2196546315617412,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.3615844397023376,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.090362223251972,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.18534643007733653,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.5370437077925216,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.238059374732983,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.2081569802330625,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.4441834217465659,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.1017560640464232,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.19579957671090598,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.4728751614661264,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.9530944930974208,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.19812135690055874,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.2858894082284258,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.88329434749195,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.19371324438787865,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.3221305533759287,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.894581670770831,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.21508519962506248,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.4351968604205219,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.0816451283768083,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.20369822860872602,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.3590135331229187,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.960435394475324,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.21986291902285585,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.3206618892024329,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.82693292460656,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.20409934036857566,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.4292538283007021,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.1007088879128535,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.16394081929050422,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.5398112792217118,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.064332421864324,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.2023040382967325,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.319340626686152,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.0039997573307886,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.20163374279758284,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.3560181368798065,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.0630681223347365,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.19692765133301113,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.5401014619898072,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.213594310723507,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.24461005878833447,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.2978626165461582,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.9352936361189468,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.17051264539070496,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.2272140986104754,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.755976863054684,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.19437083193811305,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.322883474612958,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.9960598378699228,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.20803113144566632,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.2723571147972617,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.8745047079148467,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.194834301791652,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.080046585089864,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.5860387136179803,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.1736792816324763,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.286603630515362,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.6443850018316526,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.19043358455885864,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.3813644857008336,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.9841656834353747,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.20622467147960688,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.4779048363954272,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.1408363112877575,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.1660923256755899,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.5573511521155532,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.028986872703414,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.1722163835574048,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.151746160200647,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.7099537737091748,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.18656705760429979,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.3951406139595417,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.0284811740037867,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.19583598714803196,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.3286570994002616,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.8896095828677544,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.20121378176083182,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.6199918433481038,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.4456028569616426,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.2074106576566256,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.5452022684120004,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.127852613068951,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.24146514832410834,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.3816049257738379,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.0008445697226436,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.21045879939557988,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.5543284329310636,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.138691491426027,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.18735994417668153,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.4402417116430195,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.9209974966297636,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.19990373927778257,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.4058813186381482,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.080242814695045,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.198193912662598,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.3696013725995755,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.0058037033548874,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.22901653349657758,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.4097246837008555,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.9896297206944615,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.21059370956896886,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.0711519041294923,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.7252081526480498,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.1855887635712822,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.3018248819059597,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.8630302349263335,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.1825874178525317,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.40803509361022,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,2.056341007886417,Biweight 1920.0 width
9600.0,0,0,50,nu,480.0,100,0.2,0.21713037787758896,Biweight 1920.0 width
9600.0,0,0,50,alpha,480.0,100,1.4,1.2902550595351228,Biweight 1920.0 width
9600.0,0,0,50,beta,480.0,100,2.0,1.99402246456061,Biweight 1920.0 width
