T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
9600.0,0,0,50,nu,480.0,100,0.2,0.19428486526839092,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,alpha,480.0,100,1.4,1.3676686591185934,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,beta,480.0,100,2.0,2.0305480633723256,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,nu,480.0,100,0.2,0.17706603745057056,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,alpha,480.0,100,1.4,1.3854264155394953,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,beta,480.0,100,2.0,1.9232768254097796,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,nu,480.0,100,0.2,0.21503043632635385,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,alpha,480.0,100,1.4,1.41146956155966,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,beta,480.0,100,2.0,2.1229473802943364,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,nu,480.0,100,0.2,0.16789589850836031,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,alpha,480.0,100,1.4,1.341707678541548,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,beta,480.0,100,2.0,1.8244662232234243,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,nu,480.0,100,0.2,0.21108737595358837,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,alpha,480.0,100,1.4,1.476057406695112,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,beta,480.0,100,2.0,2.0432254710235216,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,nu,480.0,100,0.2,0.18693114867007635,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,alpha,480.0,100,1.4,1.4725436270579177,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,beta,480.0,100,2.0,2.104017554979388,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,nu,480.0,100,0.2,0.1924445912122376,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,alpha,480.0,100,1.4,1.4696520634300438,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,beta,480.0,100,2.0,2.164697190885318,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,nu,480.0,100,0.2,0.22545775968004445,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,alpha,480.0,100,1.4,1.4358672218043986,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,beta,480.0,100,2.0,2.06235505143127,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,nu,480.0,100,0.2,0.20673147653914528,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,alpha,480.0,100,1.4,1.395845642175847,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,beta,480.0,100,2.0,2.084194990185094,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,nu,480.0,100,0.2,0.19146041290547777,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,alpha,480.0,100,1.4,1.2084771262028255,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,beta,480.0,100,2.0,1.937026687337482,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,nu,480.0,100,0.2,0.1919989648226855,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,alpha,480.0,100,1.4,1.3829601046612903,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,beta,480.0,100,2.0,1.9333864068615667,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,nu,480.0,100,0.2,0.16756204596799323,Adaptive Biweight with first width 3200.0.
9600.0,0,0,50,alpha,480.0,100,1.4,1.3423471133524096,Adaptive Biweight with first width 3200.0.
