T_max,m,n,number of guesses,parameter,time estimation,time_burn_in,true value,value,weight function
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.12862799737375746,Biweight 1680.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.091679384380208,Biweight 1680.0 width
8400.0,0,0,50,beta,420.0,100,2.0,1.8677488656823233,Biweight 1680.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.12514222990079615,Biweight 1680.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.2489466382027765,Biweight 1680.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.294034628593016,Biweight 1680.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.10973285426504262,Biweight 1680.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.6943035322746138,Biweight 1680.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.7135902509236876,Biweight 1680.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.12081394889396693,Biweight 1680.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.2619250533129673,Biweight 1680.0 width
8400.0,0,0,50,beta,420.0,100,2.0,1.944814606548042,Biweight 1680.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.13596686618638057,Biweight 1680.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.21415929301728,Biweight 1680.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.159082667054234,Biweight 1680.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.13235831374862764,Biweight 1680.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.7473290480884824,Biweight 1680.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.7241782165925805,Biweight 1680.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.1254436197577921,Biweight 1680.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.3024927986629582,Biweight 1680.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.1296970377693656,Biweight 1680.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.12334080203596519,Biweight 1680.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.35842696107084,Biweight 1680.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.061330877367876,Biweight 1680.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.11261951265108852,Biweight 1680.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.1465325200566034,Biweight 1680.0 width
8400.0,0,0,50,beta,420.0,100,2.0,1.8089280529210632,Biweight 1680.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.11808052590485837,Biweight 1680.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,0.9822409151687639,Biweight 1680.0 width
8400.0,0,0,50,beta,420.0,100,2.0,1.8872152046388315,Biweight 1680.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.11619492134208745,Biweight 1680.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.355573923232905,Biweight 1680.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.1385574079376206,Biweight 1680.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.12227095633479047,Biweight 1680.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.2035559110723453,Biweight 1680.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.1044677231649787,Biweight 1680.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.12493680585745097,Biweight 1680.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.3182375352383044,Biweight 1680.0 width
8400.0,0,0,50,beta,420.0,100,2.0,2.0334332073357184,Biweight 1680.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.10180239246726651,Biweight 1680.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.0246295067184414,Biweight 1680.0 width
8400.0,0,0,50,beta,420.0,100,2.0,1.7295272798681025,Biweight 1680.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.10825766854594938,Biweight 1680.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,0.9061039958026442,Biweight 1680.0 width
8400.0,0,0,50,beta,420.0,100,2.0,1.7118758278123936,Biweight 1680.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.10538787060683359,Biweight 1680.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,1.0616456261194214,Biweight 1680.0 width
8400.0,0,0,50,beta,420.0,100,2.0,1.6253646903660368,Biweight 1680.0 width
8400.0,0,0,50,nu,420.0,100,0.11482352941176471,0.12490836390868015,Biweight 1680.0 width
8400.0,0,0,50,alpha,420.0,100,1.2197647058823529,0.9127490521837837,Biweight 1680.0 width
